player,pos,tm
Duncan Robinson,G-F,MIA
Omer Yurtseven,C,MIA
Javonte Smart,G,MIA
Andre Iguodala,G-F,MIA
Victor Oladipo,G,MIA
Markieff Morris,F,MIA
Micah Potter,C,MIA
KZ Okpala,F,MIA
P.J. Tucker,F,MIA
Gabe Vincent,G,MIA
Caleb Martin  (TW),F,MIA
Tyler Herro,G,MIA
Udonis Haslem,F-C,MIA
Max Strus,G,MIA
Jimmy Butler,F-G,MIA
D. J. Stewart Jr.,G,MIA
Dewayne Dedmon,C,MIA
Bam Adebayo,C-F,MIA
Marcus Garrett  (TW),G,MIA
Kyle Lowry,G,MIA
Omer Yurtseven,C,MIA
Dru Smith,G,MIA
Raul Neto,G,WAS
Montrezl Harrell,F-C,WAS
Bradley Beal,G,WAS
Corey Kispert,G-F,WAS
Kentavious Caldwell-Pope,G,WAS
Aaron Holiday,G,WAS
Jay Huff,F-C,WAS
Anthony Gill,F,WAS
Rui Hachimura,F,WAS
Isaiah Todd,F,WAS
Deni Avdija,G-F,WAS
Daniel Gafford,F,WAS
Jordan Goodwin,G,WAS
Kyle Kuzma,F,WAS
Thomas Bryant,C,WAS
Cassius Winston  (TW),G,WAS
Spencer Dinwiddie,G,WAS
Dāvis Bertāns,F,WAS
Jordan Schakel,F,WAS
Ishmail Wainright,F,TOR
OG Anunoby,F,TOR
Isaac Bonga,G,TOR
Pascal Siakam,F,TOR
Justin Champagnie  (TW),F,TOR
Yuta Watanabe,F,TOR
Goran Dragić,G,TOR
Sam Dekker,F,TOR
Freddie Gillespie,F,TOR
Fred VanVleet,G,TOR
Dalano Banton,G-F,TOR
Khem Birch,C-F,TOR
Precious Achiuwa,F,TOR
Sviatoslav Mykhailiuk,G-F,TOR
David Johnson  (TW),G,TOR
Chris Boucher,F,TOR
Reggie Perry,F-C,TOR
Scottie Barnes,G-F,TOR
Malachi Flynn,G,TOR
Gary Trent Jr.,G,TOR
Aaron Henry  (TW),F,PHI
Isaiah Joe,G,PHI
Joel Embiid,C,PHI
Danny Green,G-F,PHI
Tyrese Maxey,G,PHI
Ben Simmons,G-F,PHI
Furkan Korkmaz,G,PHI
Paul Reed,F,PHI
Shake Milton,G,PHI
Grant Riller  (TW),G,PHI
Andre Drummond,C,PHI
Matisse Thybulle,G,PHI
Shaquille Harrison,G,PHI
Jaden Springer,G,PHI
Seth Curry,G,PHI
Charles Bassey,C,PHI
Georges Niang,F,PHI
Tobias Harris,F,PHI
Robin Lopez,C,ORL
Michael Carter-Williams,G,ORL
Jeremiah Tilmon,C,ORL
Gary Harris,G,ORL
Ignas Brazdeikis  (TW),F,ORL
R.J. Hampton,G,ORL
Mo Bamba,C,ORL
Moritz Wagner,F-C,ORL
Jonathan Isaac,F,ORL
Wendell Carter Jr.,C,ORL
E'Twaun Moore,G-F,ORL
Markelle Fultz,G,ORL
Terrence Ross,F-G,ORL
Hassani Gravett,G,ORL
Jalen Suggs,G,ORL
Chuma Okeke,F,ORL
Jeff Dowtin,G,ORL
Franz Wagner,G-F,ORL
Cole Anthony,G,ORL
Admiral Schofield,G-F,ORL
Evan Fournier,G-F,NYK
Miles McBride,G,NYK
Kevin Knox,F,NYK
Dwayne Bacon,G,NYK
Quentin Grimes,G,NYK
Mitchell Robinson,C,NYK
Aamir Simms,F,NYK
Jericho Sims  (TW),F,NYK
RJ Barrett,G-F,NYK
Taj Gibson,F,NYK
Nerlens Noel,C-F,NYK
Julius Randle,F-C,NYK
Derrick Rose,G,NYK
Kemba Walker,G,NYK
Obi Toppin,F,NYK
M.J. Walker,G,NYK
Alec Burks,G,NYK
Immanuel Quickley,G,NYK
Wayne Selden,G-F,NYK
George Hill,G,MIL
Bobby Portis,F,MIL
Elijah Bryant,G,MIL
Grayson Allen,G,MIL
Bobby Portis,F,MIL
Giannis Antetokounmpo,F-G,MIL
Johnny O'Bryant,F-C,MIL
